id,FalseSent,OptionA,OptionB,OptionC
1489,my dream is to be a teacher because I want to share my food,students will bring their own food to school,students don't like teachers' food,sharing food is not teachers' duty
1490,child need to be taught how to laugh,children are born with the ability to laugh,everything need to be taught for a newborn baby,laughing needs many skills
1491,the taste in art is an objective matter,we taste art based on our own ideas,not everyone is interested in art,most artworks are not edible
1492,the airport is one of the fastest things in the world,many people go to the airport to seek fast transportation,the airport is a building and can't move,fast transportation requires a high price
1493,the weight machine showed that I had grown taller,the weight machine can't measure a person's height,most people feel happy when they grow taller,people will no longer grow taller when they are way beyond their adolescence
1494,you need to invigilate exams if you want to graduate,invigilation means teachers don't trust students,invigilation is the teachers' job,sometimes teachers need students' help
1495,"because he is rich, he lives a frugal life",rich people don't need to live frugally,it's impossible for rich people to live frugally,living a frugal life still costs money
1496,I carried a fork to eat soup,fork can't hold liquid,Asians are not used to using forks,people can be hurt by forks
1497,"to be a husband, you need to accept strict training",completing rigorous training is a very challenging thing,it's difficult to be a good husband,being a husband doesn't require special skills
1498,the dog barked all day and I had to wear nasal plugs,barking is not a kind of smell,barking is not so bad for some people,no dog can bark all day
1499,I prepared a rocket to go to American,the rocket is used for space travel,the rocket is too difficult to operate,America has the most rockets in the world
1500,I will wear thicker eyeglasses in winter to stay warm,thick eyeglasses can be too heavy to wear,eyeglasses can't be used to keep warm,you can wear eyeglasses in any season
1501,I pulled the door shut with my eye,the eyes are too far from the door,you need to find the knob first to pull the door,eyes can't move the door
1502,I used my third hand to lift my coat,human only have two hands,the third hand is too weak to lift the coat,we can put on the coat without lifting it
1503,cut your fingernails if you don't want your socks to have holes,socks will have holes no matter what you do,when you cut your fingernails you won't feel painful,socks are not worn on the hands
1504,after finishing all my work I felt very stressful,sometimes pressure can produce power for you to do your work,you should feel tired when you finished a lot of work,you don't need to feel pressure when you finish your work
1505,you can find clouds underground,only by digging you can find things underground,there's no space for clouds underground,clouds only stay in the sky
1506,we added steel to keep the fire burning,steel is too heavy to move,using steel as a fuel is too expensive,steel is not flammable
1507,it's ok to go when the traffic light is red,people violating traffic rules will be punished,there may be no cars when the traffic light is red,a red traffic light means stop
1508,people in the desert often look forward to flood,flood is a natural disaster and nobody wants it,a flood means there will be a lot of water,people in the desert have their own ways to get water
1509,my favorite thing is surfing in the swimming pool,it's dangerous to surf in the swimming pool,you may hit people who are swimming if you surf in the swimming pool,swimming pools don't have the wave that surfing needs
1510,today I forgot to bring my mouth and couldn't have lunch,mouth is not the only thing you need to have lunch,mouth is a part of the body and can't be forgotten,you can borrow other people's mouth to have lunch
1511,you need a compass to measure the distance,a compass is not a measuring tool,a compass can draw different distances,students use compasses most often
1512,her snide comment about my weight greatly encouraged me,encouragement have many forms,we shouldn't care too much about what others have said,being laughed at by others is a painful thing
1513,the ground was covered by wind after the storm,the wind is made up of air and can cover nothing,the storm can bring a lot of wind,the storm will blow away everything on the ground
1514,we can see different moon by traveling,moon can't be seen in the daytime,you can see different things in the sky in different places,there's only one moon in the world
1515,Jim stole her heart and now he is a criminal,the criminal can be either a man or a woman,only the policeman can arrest criminals,let others fall in love is not a crime
1516,people smoke to get sick,nobody wants to get sick,some people smoke but they are healthy,smoking in public is prohibited
1517,every boat has a life jacket to prevent a person from falling in water,life jackets have saved many people's life,a life jacket is a flotation device,people wearing life jacket may still fall into the water
1518,the drink is too iced so I dropped many ice cubes in,ice cubes will only make the drink more iced,western people are more accustomed to drinking cold drinks,cold drinks are not welcomed in winter
1519,a good cooker can cook good food,cookers are tools to cook food,using good cooker can also cook bad food,cooker has little to do with food's quality
1520,we dug on the wall to drill a well for the village,the wall is too small for a well,digging on the ground only needs one people,there's no water in the wall
1521,he is such a smart boy that he learns everything slowly,smart people can also do things slowly,smart people learn things fast,IQ is not the only thing that can influence the speed of learning
1522,he can't walk with an injured hand,people can't wear shoes with injured hands,strenuous exercise is not conducive to recovery,we don't use hand to walk
1523,I was so hungry that I ate the whole elephant,overeating is not healthy,eating elephants is not allowed in many countries,an elephant is too big for a human's stomach
1524,the chef is hired to eat food for customers,the chef's job is cooking,people don't want someone else to eat their food,people can also get food without a chef
1525,he is a nice boy because he yells at everyone,it's very rude to yell at others,nice people will also be angry,sometimes you can have a clearer expression with a loud voice
1526,my cat feeds me every day,you need to be responsible for your pet,animals can't prepare food for humans,pets like staying with their owners
1527,I put on my clothes to take a shower,washing machine is a better choice for washing clothes,clothes shouldn't be washed with the body together,your body can't get clean with clothes worn
1528,Tom smashed glass and reused it after cleaning,glass shards may hurt people,a glass can't be reused after breaking in pieces,Tom may broke the glass again
1529,I stored my boxes in a book,boxes are very useful and shouldn't be stored,there's no space in a book to store boxes,it's inconvenient to read with things stored in books
1530,you have to sing if you want to catch a fish,singing is a good choice when you feel bored,you can catch a fish without singing,fishing is prohibited in certain waters
1531,I need to go to the hospital to treat my tail,it's difficult to move with an injured tail,the tail is important to animals to keep balance,humans don't have tails
1532,he got married and became a single man,marriage is a happy thing,living a single life will make people feel lonely,married people are not single
1533,trees grow leaves to prevent being knocked down,trees will stop growing without leaves,trees will no longer grow leaves after being knocked down,leaves have nothing to do with fixing trees
1534,we are all very angry that it's sunny again after so many days raining,not all the people like sunny day,most people consider sunny day a pleasant thing,rain is an important source of water for people
1535,I'm looking for the handrail to go upstairs,taking the elevator up and down the stairs is the easiest way,going upstairs without the handrail is dangerous,people can't walk in the handrail
1536,I applied for the job to relax,most adults need a job,you can relax beyond working hours,work is a burden for most people
1537,I bought a new toothbrush to clean my face,toothbrush is used to clean teeth,toothbrush should be replaced at regular intervals,the face is too big for the toothbrush
1538,I used an umbrella to avoid drenching on the beach,rain isn't the main cause of drenching on the beach,people prefer to go to the beach on a sunny day,people don't mind getting wet if they choose to go to the beach
1539,I hurried to the ticket window to sell two tickets,in many situations one person can only buy one ticket,no customer wants to buy tickets from other customers,ticket windows don't buy tickets from customers
1540,bad luck is part of the reason I can succeed,nobody wants bad luck,bad luck leads to bad things,a person can also succeed even if he is an unfortunate person
1541,I connected to the hi-fi to shop online,people still enjoy shopping in the offline store,the hi-fi can work without the Internet,people can shop online without the hi-fi
1542,Alice lacks the laziness to be in charge of a project,being in charge of a project doesn't need laziness,it's ok to be lazy in free time,being in charge of a project means you are responsible for everything
1543,"as a butcher, I killed farmers every day",nobody wants to work everyday,butchers and farmers often have deals,murder is against the law
1544,tomato paste is common in the bathroom,the tomato paste is red,the tomato paste is well used for flavor,the tomato paste is mostly used in the kitchen
1545,my baby needs a bottle of beer every day,beer is bitter and babies like things sweet,a bottle of drink is too much for a baby,babies don't need beer
1546,he brought a moon for his wife,moon belongs to everyone,no one can buy moon now,you can see moon every night in the sky
1547,Tom hunted a bear in the library,the bear can kill a man easily,the library isn't the habitat of bears,bears are very rare now so we shouldn’t hunt them
1548,he went to the kitchen because he felt sleepy,kitchen doesn't have sleep equipment,he can make breakfast in the kitchen,he overworked in the daytime so he felt sleepy
1549,he was very sad when his pay raised,not everything can be bought by money,money is not the most important thing for some people,have higher payment is a good thing
1550,the baby kangaroo will be put in its mother's hands,kangaroos stay in their mothers' pouch when they are young,kangaroos have too many babies and they don't have enough hands,kangaroos come from Australia
1551,we always drink apples at breakfast,some people don't like apples,apples are tasty and nutritious,apples are not liquid
1552,I felt energetic after having expired food,expired food doesn’t taste good,expired food is some poor people's food,expired food is bad for health
1553,a credit card allows me not to pay money,you need to apply to the bank for credit cards,only thief can take things free,you need to pay money back to the bank after using a credit card
1554,I do homework every day to keep healthy,doing homework can take up most time of a day,doing homework can't make you healthier,doing homework is important to pass the exam
1555,I built a car in the store,there's no equipment to build a car in the store,a person can be unsatisfied with all the cars exhibited in the store,there are just a few kinds of cars in the store
1556,she is good at swimming so she plays water polo well,swimming is only a part of playing water ball,water polo is a difficult sport,a water polo game needs more than one players
1557,I swim well so I have an advantage in art,people can be both good at swimming and art,swimming is not a kind of art,swimming well needs strict training
1558,her skin got whiter after sunbathing,sunbathing can lead to many health problems,many girls want to have white skin,sunlight can make skin darker
1559,I speeded up my car to park it,keeping speeding up will lead to over-speed driving,the faster a car runs the more difficult it is to stop it,parking is only allowed at designated locations
1560,I am looking for a new wife after being fired,holding a wedding needs money,your wife will encourage when you encounter setbacks,what you lost is a job when you are fired
1561,you need hardware or software to surf the Internet,sometimes we can't get hardware and software in the same place,we can't surf the Internet with only hardware or software,it's very easy to connect to the Internet nowadays
1562,I helped the robot to find its dad,robots are all from the factory,it's easy to distinguish a robot,one day robots will have human feelings
1563,I prepared some fuel to power myself,the taste of fuel is bad,humans don't eat fuel,sleep is the most effective way to power people
1564,policeman tried to arrest criminals to send them home,criminals often hide at home to avoid arrest,criminals are punished by staying in prison,the policeman is often very busy
1565,I will go to the hospital tomorrow to check if I'm alive,the hospital can't make dead people alive again,a person can't go to the hospital if he is dead,hospitals have saved a lot of people's lives
1566,I saw the sound of the birds,sound can't be seen,birds may not be singing when you see it,most birds are afraid of people
1567,nurses take care of doctors,doctors don't need the care of nurses,doctors and nurses often work together,no one will take care of the doctor
1568,the fans sat in the soccer field to enjoy the football match,soccer field is used to play soccer,soccer field doesn't have a good perspective of watching the game,soccer field can't accommodate many people
1569,I called a taxi and paid for the car,"to be a driver, you need to have a car first",the taxi driver won't agree to sell the car,taxi isn't a car for sale
1570,I keep things messy so that I can find something quick,it's difficult to find things in a mass,keeping things messy is a bad habit,when you try to find something you need to be patient
1571,I wore my wedding ring on my left foot,ring should be worn on the hand,walking with a ring on your feet is very uncomfortable,wedding rings need to be kept safe
1572,a ruler can help you do sums faster,rulers can't calculate numbers,you can use rulers to get data,you can do sums without any tools
1573,villagers planted a well to get water,the well is not a plant,the well grows too slow,villagers need water to farm
1574,I used steel to make a fish tank by myself,steel is one of the most sturdy materials,making fish tanks need transparent material,using steel to make fish tanks is too expensive
1575,I put my books in the wine rack,people are unable to understand the book when they are drunk,reading books with a cup of drink is very elegant,the wine rack isn't suitable for putting books
1576,everyone is amazed at her appearance when they first time smell her,we can't judge others only by appearance,we can't judge one's appearance by smelling,bathing on a regular basis will make you smell good
1577,we need woods to produce erasers,erasers are made by rubber,the eraser is a common stationery,extensive deforestation is not environmentally friendly
1578,I sunbathe on the dressing room every summer vacation,there's no sun light in the dressing room,people usually change clothes before sunbathing,staying in a dressing room for a long time is really weird
1579,a rainy day is a good chance to dry the clothes,we can use the rain water to wash clothes,people can only do indoor activities on rainy days,clothes dry very slow in a damp environment
1580,if you are robbed you should call the firefighter,people may feel too scared and don't know what to do,firefighters are responsible for handling fires,robbery usually happens in the bank
1581,he had an operation on his mind yesterday,curing mental illness is very difficult,operation on mind is very dangerous,the mind is not a human organ
1582,the bait is a very common dish for coastal people,fishermen can still fish without the bait,the bait is not food for people,nobody knows how to cook the bait
1583,I see a duck diving in the river,the river will be too cold to swim in winter,the duck can't dive in the water,ducks can avoid natural enemies by diving
1584,I spent more time on having fun so I had better grades,all work and no play makes Jack a dull boy,having fun can't help you study better,many people met their best friends in school
1585,I bought some apple from the butcher to restock my freezer,butchers only sell meat products,we need diet balance to keep healthy,butchers like eating apples too
1586,I use the fork to cut the beef,the fork is not suitable for cutting,forks are more useful in eating steak,beef doesn't need to be cut
1587,eating too much is an unhealthy way to lose weight,eating will make people happy,people can keep healthy by eating healthy food,eating too much can't help you lose weight
1588,she was very angry when her son was admitted to the best school,parents want their kids to go to the best school,she don't know school the school is the best,only the best students can be admitted to the best school
1589,wine cellars are not just for drinking,wine cellars are used to store wine,people often chat with others when they are drinking,wine cellars are not open to everyone
1590,my grandpa can't sleep so he took stimulant pills,stimulant pills will make people feel more excited,we should take stimulants under the guidance of doctors,there are many other ways to help people fall asleep
1591,I'm looking for a policeman to mail the letter,policemen are too busy to mail the letter,the policeman only handles crimes,everyone uses email now
1592,every time my cat eats bamboo it is very happy,cats eat different food,bamboo is very easy to get,cats don't eat bamboo
1593,we protect pandas in the zoo so they are rare,zoos also collect common animals,there are many wild pandas now,pandas are one of the most popular animals in the zoo
1594,she can become a model because she is out of shape,people always admire models,she eats too much so she is out of shape,a model needs a good figure
1595,she asked the cook to add more salt because she loved sweets,salt can't make food sweeter,too much salt can lead to death,sweet food is an important cause of obesity
1596,we listened carefully to what the teacher was thinking,people can't hear others' mind,sometimes we are very curious about what others are thinking,listening carefully during classes is a good thing
1597,you need a hat to prevent the spread of infection,hats are useful when the sunlight is glaring,hats can't stop the infection,wearing a hat is impolite on some occasions
1598,I bought a razor for my mother as a gift,woman don't sprout a beard,children shouldn't buy expensive gifts for parents,usually children love their parents very much
1599,you need to hang off the phone when the phone is ringing,you don't want your phone rings when you are in a meeting,sometimes you don't want to pick up someone's phone,the phone ringing means a call came in
1600,we agreed on a location before we had a call,sometimes it's a difficult thing to reach an agreement,people can't answer the phone when they are busy,calling doesn't require people to stay in the same place
1601,the root shelters us from the rain,the root grows underground,trees can't live without roots,we usually use umbrellas on rainy days
1602,we should order as much food as we can in the restaurant,we should share our food with others,ordering too much food will cause food waste,the restaurant don't have so much food
1603,Muslims do not eat pork because of the taste,now people are becoming more aware of protecting animals,Islam doesn't allow believers to eat pork,the taste of the pork is decided by chefs
1604,Coca-Cola has been popular for hundreds of years because of its name,people are attracted by the taste of the drink,nobody likes Coca-Cola's name,it's amazing that a drink can be popular for hundreds of years
1605,I just can't balance myself to drive the car,it's ok to make some mistakes during your learning,you can learn driving faster if you have some gifts,driving doesn't require drivers to balance themselves
1606,he grew up one year younger after every birthday,people can't grow younger,people usually feel very happy on their birthday,many people want to be young again
1607,air conditioning can change the brightness effectively,there are many kinds of lighting tools,air conditioning consumes a lot of electricity,air conditioning is not used for lighting
1608,I got married after I found out that my wife had cheated on me,no one will marry an unfaithful woman,the husband can choose to forgive his wife,marriage is one of the most important things in a person's life
1609,I used the water to pack the pork,both people and pigs can't live without water,we should use water to clean the pork before cooking it,only solid can pack things
1610,I need toothpaste to take a shower,some toothpaste can't clean things well,toothpaste is used to brush teeth,people may forget to carry a toothpaste when they go on a trip
1611,the heroine kisses the audience in this movie,things that are impossible in life can happen in movies,we shouldn't kiss strangers,people in the movie can't interact with the audience
1612,people in the desert don't need water,people can live without water for about three days,everyone needs to drink water,some people prefer drinks to water
1613,queuing is a punishment for destroying order,people who haven't made mistakes should also line up,nobody wants to stand in a long queue,people who break the rules should be punished more severely
1614,ears are the organs we use to breathe,we can use mouth to breathe too,we can don't breathe for a few seconds,ears are used to listen
1615,we planted mines for a better world,only a few people can't change the world,mines kill people and make the world worse,mines can protect us
1616,running can improve our thinking ability,thinking ability is an important ability for everyone,running improves our athletic ability,running consumes too much energy
1617,spring is the season of harvest,there are four seasons in one year,spring is the season of sowing,it rains too much in spring
1618,advertising is used to show the shortcomings of products,customers are more concerned about the advantages,every product has its advantages and disadvantages,advertising is designed to attract people to buy products
1619,she employs a chef because she can't drive,the chef can't help her drive her car,chefs can't cook food in a car,employing a chef costs a lot of money
1620,it's a great honor for me to have a talk with my mother,speaking to mother is a normal thing,we speak less to our mothers when we grow older,we should respect our parents
1621,he needed a calculator to solve this simple calculation,calculator is a good learning tool,people can solve simple calculations by ourselves,doing calculation can improve our math ability
1622,chatting with American is good for our Chinese learning,now we can chat with foreigners on the Internet,American doesn't speak Chinese,more and more people speak Chinese now
1623,farmers can pick up apples on the ground,not everyone has books,books are not containers,we should treasure our books
1624,Americans couldn't understand what he said because of his standard spoken English,it's impossible to speak local language standardly for foreigners,standard English is easy to understand for Americans,learning a foreign language is very useful
1625,illness can be cured during routine physicals,routine physicals don't include any treatment,doing routine physicals needs to be allowed by doctors,curing illness needs a long time
1626,I earned money by sleeping,you can make a lot of money in your dreams,nobody will pay you for sleeping,you can do nothing without sleeping
1627,my father found that he was pregnant yesterday,men don't want to be pregnant,only women can be pregnant,parents can have more than one child
1628,my nice wearing left a bad impression on him,people admire those wearing nicely,we shouldn't judge someone only through his appearance,the first impression may change later
1629,my new day began with a beautiful afternoon,afternoon comes later than morning in a day,some people will have a sleep in the afternoon,few people get up in the afternoon
1630,I bought some beds to open a cafe,beds are too expensive,sitting on the bed is uncomfortable,the cafe is not a place to sleep
1631,rice is the main food for all the people,we can also live without the main food,Asians love rice most,not everyone eats rice
1632,the game company makes games for encouragement,players will praise a good game,many people download games free on the Internet,people set up companies to make money
1633,the shopping mall is filled with car parks,the shopping mall is mainly used for shopping,most shopping malls will provide parking lots to customers,not all the customers drive to shopping malls
1634,the poem used many beautiful pictures,a poem is made of words,poets don't know how to draw,pictures are more difficult to understand
1635,a wall without touching the sky is impossible,it would be too expensive if the wall was built too high,no wall can touch the sky,nothing is impossible
1636,the handle on the door is for decoration,the handle on the door is a very practical thing,doors look better without handles,some decorations can also be very useful
1637,newspapers are printed by journalists,journalists write articles in a newspaper,now more and more people no longer choose paper newspapers,journalists can be taught how to print newspapers
1638,I need to buy a CD to watch videos at home,watching videos at home doesn't need CDs anymore,a CD can't store videos,renting CDs is a cheaper choice
1639,you can download a wrench on the Internet to fix the windows,we can't get everything on the Internet,windows can be fixed with other tools,hardware can't be downloaded
1640,I bought a headphone to share the music with others,the headphone is a private music player,playing music outside can be annoying,others can use their own phones to enjoy music
1641,my parents went to the same public toilet just now,public toilets are divided by different genders,couples often go to the same place together,people still need private space after getting married
1642,my mother asks me to litter my room every day,kids will litter their rooms without parents' reminding,parents want their kids' rooms clean and tidy,"once you litter your room, it will be messy forever"
1643,programmers plant crops every day to earn money,programmers are not farmers,programmers can't work without eating crops,programmers can use money to buy crops
1644,you don't need learning to be a musician,to be a musician you need gifts,everyone can be a musician because everyone can sing by nature,musicians need to have a lot of professional knowledge
1645,the library is a good place to sleep because of its quiet environment,libraries don't open in the evening,you can fall asleep in noisy environments as long as you are tired enough,libraries are not used for sleeping
1646,I'm writing code on the paper,code on the paper can't run,you can write nothing without pencils,code on the paper can't be deleted
1647,I used plastic bags to be environmentally friendly,now supermarkets don't provide free plastic bags,plastic bags have caused many environmental problems,more and more people began to concern environmental problems
1648,we can work in the night thanks to the sunlight,the sun is on the other side of the earth in the night,people should go to bed in the night rather than keeping working,someone turns off the sunlight in the night
1649,soldiers wore fatigues to be attractive in the jungle,fatigues are used to camouflage something,war in the forest is not environmentally friendly,soldiers need comrades' attention in a battle
1650,I gradually recalled something due to the memory decay,memory decay can be cured,recalling something requires a good memory,forgetting something bad is better than recalling it
1651,Japanese has borrowed heavily from barking,Japanese has its own vocabulary and doesn't need to borrow from other languages,barking is annoying for everyone,barking is not a human language
1652,I need a stamp to send this email,sending emails doesn't need stamps,stamps are totally useless now,electricity is more important than stamps in sending emails
1653,I encourage my daughter to walk alone in the darkness,daughters need the company of their fathers as they grow up,it takes great courage to walk alone in the darkness,walking alone in darkness is considered a dangerous thing
1654,the rain fell into my head and my brain got wet,people will be stupid if their brain get wet,rain can't get into people's heads,you can avoid getting wet by using umbrellas
1655,I can't live without snacks,snacks can make people full just like main food,you can eat other food to live,eating too many snacks will cause the over-weight problem
1656,"this is a bumper harvest year, we picked tons of leaves from apple trees",farmers don't need to pick leaves because leaves fall in autumn themselves,it's impossible to pick all the leaves in a tree,apples are what we need in apple trees
1657,stone can warp the paper,paper is easy to break,stone is not flexible,stone is harder than paper
1658,proper temperature can be found on the south pole,air conditioning can make temperature properly in anywhere,it's always extremely cold on the south pole,people can only live with suitable temperature
1659,proper temperature can be found on the south pole,people who have cars don't care about the distance too much,farther distance is a disadvantage,people don't necessarily just like things close to themselves
1660,I felt happy again after eating terrible food,we shouldn't waste food,feeling happy all the time is an enviable thing,nobody wants terrible food
1661,I need inspirations to clean bowls,cleaning bowls is not a job everyone can do,inspirations are very important to artists,cleaning bowls is not a creative work
1662,the uniform gave the police the right ro search your house,you can't recognize who is an undercover cop,uniforms don't have any legal effect,only the criminal's house will be searched
1663,I lit my house to warm myself,arson is a crime,I will have no place to stay if I burn my house,only wooden houses can be lit
1664,the flowers are crying,flowers contain much water,only animals can cry,flowers always feel happy
1665,we can talk with dogs,humans and animals can't make friends,we have many other ways to communicate with dogs except talking,dogs can't speak humans' language
1666,he thought it would rain soon so he carried sunglasses,sunglasses are used in sunny days,it may not rain later,accurate forecasting of the weather is difficult
1667,I brush my teeth every day to keep them dirty,brushing your teeth can make your teeth cleaner,many people begin their days with brushing teeth,some people don't care about the color of their teeth
1668,we can use fabricated data in scientific researches,making fabricated data is very easy,few people can make significant science researches,scientific research should be realistic
1669,we should ignore the traffic light when we go across the road,we can go across the road when no car is coming,traffic lights tell us if we can go across the road,we can't be distracted when we go across the road
1670,the modern city is more agricultural than the countryside,there is more labor in the city,the city doesn't have the conditions for agriculture,we still need to develop agriculture nowadays
1671,we went to the cemetery to chat with the dead people,many people think the cemetery is unlucky,people often hope they can talk with someone who is dead again,dead people can't speak anymore
1672,my best friend was in my lost wallet,wallet is too small for a person,losing a friend is sadder than losing money,the police will find the wallet for me
1673,"if we pick up other's wallet, we should share it with our friends",we shouldn't share our important things with others,the thing we picked up doesn't belong to us,maybe there's no money at all in the wallet
1674,the climate is a part of a nation's culture,the climate will influence a nation's culture,the climate in different places is very different,the climate is not created by humans
1675,everyone has expensive fingerprints,some people only have one finger,some people's fingerprints are cheap,no one will pay for fingerprints
1676,my heads hurt,doctors can cure the headache,headache can lead to death,a person only has one head
1677,I found a lipstick in my mother's first-aid kit,doctors and nurses can also make up,there are many things in a first-aid kit,the lipstick is not a medical product
1678,I fed pork to my wheat,there is too much wheat and it's impossible to feed all of it,pork is much more expensive than wheat,crops don't eat meat
1679,my family go to the park to see plum blossoms every summer,plum blossoms only exist in winter,some family members may don't like plum blossoms,the park is a good place for family activities
1680,I bought some desert in the shopping mall for my daughter,desert can't be sold in shopping malls,girls don't like the desert,you can buy things for desert traveling in shopping malls
1681,low-calorie food is more likely to make people fat,low-calorie food provides less energy to people,thin people also like eating delicious food,delicious food often has higher prices
1682,the chick wanted to find its mother's breast to be fed,chickens are not mammals,the chick will be eaten soon so it doesn't need to grow up,the hen may have been eaten already
1683,humans' lifespan has been shortened thanks to the development of medical technology,we can live even longer in the future,most people want to live longer,advanced medical technology keeps more people away from death
1684,one day humans will settle on another star,nothing is impossible in the future,stars are not solid objects,the earth is always humans' home
1685,sailors work on the land,sailors' home is on the land,sailors work in ships and ships always float on the water,sailors have seen many islands
1686,teachers assign housework to the students,housework has little to do with what students learn in school,more and more parents think kids do too little housework nowadays,sometimes doing housework is treated as a punishment
1687,appearance is not very important for actors,we shouldn't judge a person only through his appearance,being actors has a high requirement for appearance,acting skills are the most important things for actors
1688,normal wearing can cause people to notice you at the party,clothes that suit you best may not suit others,normal things can't attract people's attention,all the people want to be the center of the attention at the party
1689,wearing a party hat to attend the funeral is perfect,nobody wants to attend a funeral,a party hat shows disrespect at a funeral,the party hat is just a decoration
1690,you will feel inferior about yourself when you dress nice,feeling inferior may lead to many mental problems,many people don't care about the appearance,nice dress will make one feel confident
1691,I cut my hair longer at the barber's,only good barbers can cut longer hair,we can't make hair longer by cutting,we can have a new hairstyle by ourselves
1692,I can count the number of stars in the sky,we can only see stars in the evening,there are too many stars to count in the sky,you'd better lie down to count the stars
1693,we can't breathe in the water because I don't have tails,we can breathe in the water with some tools,we can keep balance without tails,the tail is not used to breathe
1694,I could drink the whiskey on his breath,we should keep a distance from the drunk people,whisky is a kind of popular wine,we can't drink other people's breath
1695,I sat in the trunk of the taxi with my girlfriend,the trunk is used for storage,trunks are too small for two people,some taxis don't have trunks
1696,chefs should wear gloves before preparing food for customers,gloves will make chefs' hands less agile,gloves need to be sterilized before being worn by chefs,chefs can prepare food without hands
1697,people go to jail because they don't want freedom,people can serve their sentences at home now,there are many much easier ways to lose freedom,giving up the right of freedom is not the reason people go to jail
1698,I saw snow in Singapore in June,only kids like snow,it's summer in June in Singapore,there are many tourists in Singapore in June
1699,an umbrella can help you keep warm in snowy days,we don't wear umbrellas,umbrellas can keep you dry in snowy days,going outside is very crazy in snowy days
1700,the plane is a useful transportation tool in campus,plane tickets are too expensive for students,no student can afford planes,campuses are too small to use planes
1701,fans were sad when their team scored a goal,fans will be sad when their team lose a game,scoring goals means your team can win the game,the audience watched the game on TV had no feelings at all
1702,I got a scholarship for cheating in the exam,people should be punished rather than rewarded for cheating,you can get high scores if you cheated in the exam,cheating in the exam is a skillful thing
1703,the hot weather made me keep bleeding,you need a doctor immediately if you are bleeding,too much blood loss can lead to death,people only bleed when they are injured
1704,you don't need to try out products when you shop online,you can try out products in offline shops,you can spend less time in shopping if you don't try out products,people do need to try out products when they are shopping
1705,reading can make driving a joyful thing,driving is a joyful thing itself,drivers can't read books when they are driving,reading in cars will make many people feel sick
1706,everyone said I had two beautiful mouths,the mouth is an important part of the face,a human only has one mouth,beautiful people are more popular
1707,cat walking is a useful skill in marathon running,both cat walking and marathon running require strict training,marathon is a difficult sport,cat walking is used by models in the show
1708,both funerals and weddings are cheerful ceremonies,everyone will have his funeral,not everyone will experience weddings,the atmosphere in funerals is sad
1709,I often bought chalk for teachers to write on the ipads when I was a boy,chalk is used to write on the blackboards,only teachers can use the chalk,ipads are widely used in education nowadays
1710,his father died for giving birth to him,doctors will ensure the childbirth is safe,men can't have childbirth,children need parental love in the process of growing up
1711,gardeners grow crops in gardens,gardens where gardeners work usually belong to others,gardeners eat crops too,growing crops is farmers' job
1712,I use Photoshop to change the color of my room,using Photoshop to change colors is too slow,I need a computer first to use Photoshop,Photoshop can't change the colors in the real world
1713,I can't forget the night that I saw cells with telescope,telescopes are used to observe things far away,we need light to use telescopes in the evening,some cells can be seen by humans' eyes without using any tools
1714,I burned myself accidentally when I was taking a shower,we don't use fire when we take a shower,the process of treating burns is very painful,bathrooms are usually too wet to light fire
1715,every time I hang out at the cinema I will get drunk,the cinema is a boring place if you don't watch movies there,the cinema is a place for watching movies rather than drinking,people also chat with others at the bar
1716,I gave birth to my grandson,it's my children giving birth to my grandchildren,more and more elders don't have grandchildren now,elders love their grandchildren very much
1717,you should have your passport ready before you take domestic flights,you need your passport only when you are abroad,the security clerks will check your personal information strictly,you may lose your passport during the trip
1718,I'm looking for a gas station to refuel my bicycle,bicycles don't consume fuel,bicycles are becoming popular again,riding bicycles don't require licenses
1719,I refused to drive after drinking gas,not everyone knows how to drive,it's ok driving after drinking gas,humans can't drink gas
1720,mushrooms are a very rare dish in Asia,mushrooms are many people's favorite food,mushrooms are not popular in Europe,most people can get mushrooms to eat easily
1721,we can change our fingerprints when we want,people don't have hands have no fingerprints,humans' fingerprints can't be changed,different people have different fingerprints
1722,flu can spread easily through eye contact,sick people will be isolated so they can see no one,the disease can't spread through eye contact,flu is not a serious illness
1723,my son was terrified when he menstruated for the first time,the first menstrual cycle means you are in adolescence now,you may be pregnant if you missed your period,only females menstruate
1724,waterfalls are a feat of modern engineering,humans have made great progress in modern engineering,waterfalls are not created by humans,there are many spectacular waterfalls in the world
1725,I'm so busy that I haven't slept for two years,sleeping is one of the most comfortable things,we can refresh ourselves by drinking coffee,it's impossible for people not to sleep for two years
1726,we can't breathe without the noses,noses are also important for the sense of smell,it's impossible for us to have no noses,we can also use mouth to breathe
1727,I brought my friendship to float in the sea,friendship is not a ship,we should treasure our friendships,floating in the sea would be more interesting with friends
1728,he won a prize as best thief,thieves will be sent to prison,winning a prize is a cheerful thing,no one will award the thief
1729,I don't know what's my real gender,people of different genders are very different,people know their genders,people want to learn themselves
1730,Joel said hello to his kids before traveling to Africa,travelling to foreign countries takes a long time,we say hello to almost all the people,people say goodbye to each other when they are about to be separated
1731,you will find a payment counter in a police station,we can't walk around the police station without permission,policemen need income too,the police station is not a place of consumption
1732,writing a story requires a beautiful voice,there are more and more audiobooks on the Internet,writing a story doesn't need a quiet environment,voice is useless in writing a story
1733,a life jacket can save your life when you are falling from a high place,you should be careful when you are in a high place,life jackets are designed to save people's lives,life jackets are used to float in water
