Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
you can go to college after graduation from high school,you must go to college after graduation from high school,People are free to decide whether to go to college or not,not everyone goes to high school,many parents want their children to go to college and graduation,you can do whatever you want after graduating high school,"Not everybody has to go to college, there are others options after high school."
I picked a cherry from the tree,I picked a peanut from the tree,peanuts don't grow on trees,There are many peanuts and trees in the world,peanut can be used to make oil,peanuts do not grow on trees,Peanuts grow in the ground.
I don't feel hungry any more after my lunch,I don't feel hungry any more after a nap,a nap can't make you full,taking a nap is a good habit,Some people have a nap until they feel hungry again,only food can reduce hunger,"a nap does not fill you up, it rests you"
the dining room is a place for dining,a restroom is a place for dining,the restroom is a place for people to go to the toilet,a house has many rooms including the dining room and the restroom,People usually go to the restroom after dining,A restroom is a place for using the bathroom.,the restroom is a place for using the bathroom.
an ant has six legs,a spider has six legs,a spider has eight legs,some people are afraid of spiders because they have many legs,Mosquitos are small and have many legs,Spiders have eight legs.,Spider's have eight legs.
I had a bad day and I was upset,I had a bad day and I was excited,a bad day would make people feel bad,there are things to do which can male people feel excited again,People need to control their emotions after having a bad day,A bad day makes people sad.,Nobody is happy in a bad day
"my clothes are dirty, so I wash them","my clothes are dirty, so I wear them",people don't want to wear dirty clothes,some clothes cannot be worn under the water,"I am lazy, so I do not want to wash these dirty clothes",Dirty clothes need washing before wearing again.,People do not wear dirty clothes.
I like to watch the moon rise in the evening,I like to watch the moon rise in the morning,the moon comes out in the evening,sunshine in the morning is too strong to see the moon,many people go to bed in the evening with the moonrise,"The moon rises at night, and sets in the morning.",The sun rises in the morning and the moon sets at night so one watches the sun rise in the morning not the moon.
My purse was stolen yesterday,My leg was stolen yesterday,a leg is a part of the human body and cannot be stolen,some people don't have legs but have purses,We can buy pork leg and purses in the supermarket,"Unless you have an artificial leg, it would not be possible for someone to remove your leg from your body in order to steal it.",A leg is attached to a body and cannot be stolen.
He jumped into the water to save the drowning kid,He jumped into the sandpit to save the drowning kid,"if someone is drowning, he or she must be in the water, not the sandpit",drowning in the water could be dangerous for children,Kids can play at the sandpit near to the water,You can only drown in water.,"People drown in water, not sand."
I caught a cold and I felt weak,I caught a cold and I felt energetic,Being sick can leave you with no energy,no one likes feeling no energy and catching a cold,even strong people could not be energetic every time,Colds make us tired.,Colds make you feel tired.
I made a fire before cooking,I made a fire after cooking,People use fire to cook,fire can be dangerous during cooking,The first time people use fire to cook was long times ago,You should make a fire before cooking.,The fire would have to be made before cooking.
we were cold so we lit the fire in the fireplace,we were cold so we put out the fire in the fireplace,putting out the fire in the fireplace will only make us feel colder,it's dangerous to put out the fire by alcohol,not every house has a fireplace to resist the cold,fire will be putout when one feels hot,People use fireplaces to stay warm and avoid coldness.
Steve drove back to California from Canada,Steve drove back to California from Australia,you need to take a ship or plane to go to the U.S. from Australia,California's climate is different from that of Australia,Both Australia and California are good places to travel to,car cannot be used for oversea travel.,"Because Australia is an island, it is impossible to drive across the ocean to California."
you must stop when there is a stop sign,you can go when there is a stop sign,not stopping at a stop sign is violating the traffic rules,a stop sign is usually red,there are many stop signs in the city,A green light means you can go.,If you go during a stop sign you might get ran over.
a customer can ask a salesman questions about the price of products in a mall,a customer can ask a cleaner question about the price of products in a mall,a cleaner is in charge of cleaning not the products,Products with suitable price in the mall are popular,Cleaners in the mall usually clean the ground but not the products,It isn't a cleaner's job to know the price of products in the mall.,Cleaner's aren't the best people to ask questions about prices at the mall
Children can learn to ride bikes by themselves,Children must learn to ride bikes by themselves,Children can get others' help when learning to ride a bike,Children are always curious about riding bikes,Children don't need a driver's license to ride a bike,learn to ride a bike is a activity which is good to have someone to help when you're a child,children learn from others
a little baby needs parents' care,a little baby can live alone,"a little baby cannot get food, water, and money by him(her)self","No one likes living alone, including the little babies",little babies often cry when being alone,A little baby is not an adult,Babies need love and support from parents.
Money can buy houses,Money can buy families,families can't be bought,the families can earn money together,family is much more important to many people than money,humans are not objects to be bought,"Money is used to purchase items for families, so because families are people and not for sale, money cannot buy them."
Money can buy movie tickets,Money can buy happiness,happiness is not something like the movie tickets that you can buy,Both happiness and money are important,Going to movies can make me happy,The old saying is money can't buy happiness.,Money cannot buy a psychological state.
drivers should abide by traffic rules,drivers may not obey traffic regulations.,Failure to comply with traffic regulations may lead to traffic accidents,Traffic police command traffic and drivers,Remember the traffic regulations when driving,You will get in trouble if you don't obey traffic regulations.,Drives have to obey traffic regulations or something bad will happen.
I bought my favorite writer's new book from the bookstore,I bought my favorite writer's new book from the farmers' market,there are no books for selling in a farmers' market,my favorite writer's new book is about the farmers' market,we can read the book in the farmers' market,books are not sold in any farmers' market.,only fruits and vegetables are sold in a farmer's market
Lily met her boyfriend at a bus station,Lily met her boyfriend on the Moon,there's no life in the Moon,some couple fall in love with each other when they first meet,scientists are trying to send people to the Moon,There are no human habitants on the moon.,People do not live on the Moon.
I stop working when I am not feeling well,I start working when I am not feeling well,people need rest when they are not feeling well,you can buy medicine from pharmacy to make you feel better,Continuing working without a break makes people feel not well,One cannot work when one does not feel well.,"People who are sick generally do not perform work as well as people who are healthy, as their symptoms cause delays and can be distracting."
ocean water tastes salty,ocean water tastes sweet,there is no sugar in ocean water,freshwater is tasteless and not sweet,ocean water is not suitable for drinking like the sweet juice,Ocesn water contains salt and cannot taste sweet.,Ocean water is salt water and salt is not sweet.
talking on the phone when watching a movie in the movie theater is not polite,talking on the phone when watching a movie in the movie theater is polite,talking on the phone when watching a movie in the movie theater would disturb others and is a terrible behavior,I see the actress talking on the phone in the movie,We should act politely when watching a movie in the movie theater,Talking on the phone is a distraction from the movie.,people do not want others to talk in the theater
The mother lost patience and hit the girl,The mother lost patience and kissed the girl,people will do awful things when they are impatient,mothers should be patient with their kids,being patient and kissing a strange girl is not always easy,Usually mothers would not kiss a girl if they lost patience except if it were their own child.,loosing patience makes ones angry and if you are angry the chances of kissing which is part love is zero
"If you want the baby to laugh, you can make a face","If you want the baby to laugh, you can shout at it",shouting at a baby would frighten it rather than make it laugh,People like the baby to laugh but not shout,Shouting or laughing at others is impolite,When one shouts at a baby it  starts crying.,Babies generally cry if you shout at them.
We should keep the cookies in a dry place.,We should keep the cookies in a moist place.,cookies in a moist place would turn soft and less delicious,Moist places can make the food easily to rot,there are different flavors of cookies storing in the moist shop,cookies shouldn't be kept in a moist place because they'll get soggy.,cookies can damage in moist place
I learned a new skill after lots of practicing,I learned a new skill after lots of resting,rest will not enable one to master a new skill,people need to rest sometimes to review the skills they have learned,"After resting, people will have the energy to learn new skills",you don't learn anything resting,lots of resting make people lazy.
She felt very nervous before delivering a speech,She felt very nervous after delivering a speech,"Since the speech has been delivered, she doesn't need to be nervous anymore",a certain degree of tension will make people deliver a better speech,it is important to be confident and not nervous when delivering a speech,After delivering a speech would be the time for the nervousness to be gone.,"""Nervous"" is an anticipatory feeling, something that's felt before an event occurs."
the apple is rotten so I threw it into the trash bin,the apple is fresh so I threw it into the trash bin,fresh fruits are good and should not be thrown away,the fresh apple has a better smell than the trash bin,"a trash bin has a limited capacity, and can not keep endless apples inside",Fresh food can be eaten or stored; it is unnecessary and wasteful to throw it away.,A person would not throw away an apple that was fresh because it is fine to eat.
Mary ran away from home and her mother was very worried,Mary ran away from home and her mother was very relaxed,parents would get terribly worried rather than relaxed if their kids run away from home,sometimes teenagers and their mothers have disagreements,It is irrational for teenagers to think that running away from home will make them relaxed,Mother lives for children,When someone ran away we get very tense not relaxed.
I listen to the news on the radio every morning as I drive,I read the news in the newspaper every morning as I drive,people cannot read and drive at the same time,newspaper is a kind of media where we can read news,my father drives the car to buy newspapers every day,humans only have two hands,It is too dangerous to read and drive at the same time.
There is a reflection of the moon in the lake,There is a reflection of the moon in the parking lot,The ground of the parking lot cannot produce reflections,There are many cars in the parking lot,The moonlight makes the parking lot brighter,The parking lot is not made of water.,"Asphalt and concrete, the typical materials used for making parking lots, do not form a reflective surface."
you can buy a book from a bookstore,you can always buy a book from the library,You can usually borrow but not buy a book from the library,People can bring the books they bought outside to the library,you need to return the book back sometime after you borrow it from the library,Library only lend books,"You rent books at libraries, not buy them."
Starbucks is the name of a coffee shop chain,Starbucks is the name of a theatre,"Starbucks is a coffee shop, not a theatre",coffee helps people to stay awake,People can bring the coffee of Starbucks to the theatre,Starbucks does not produce movies.,"Starbucks is a coffee retail, they do not show movies in Starbucks."
Butterflies used to be caterpillars,Caterpillars used to be butterflies,A butterfly grows from a caterpillar,Butterflies are beautiful but caterpillars are ugly,people used to think that the caterpillars are pests,Caterpillars turn into butterflies.,Caterpillar is the earlier stage of development in butterflies life.
his lifestyle is green,his lifestyle is black,"black is not a word to describe one's lifestyle, but green is",green lifestyles should be encouraged,"black is a dark color, and green is a light color",a black lifestyle is not a thing.,Your lifestyle cannot be a color.
I bought a ticket and watched a baseball game,I bought a ticket and played in a baseball game,"people buy tickets to watch a game, not to play a game","If you want to see baseball players, you need to buy the ticket",you don't have to play well in order to watch a baseball game,Only athletes can play in organized sports events.,"Playing a baseball game require training,coaching and selection"
Japanese people speak Japanese,American people speak American,American is not a kind of language and American people speak English,American people can be from different races,Many American people can speak many kinds of languages,American in not a language.,American is a label on people who live in America.
There is a turtle living in my fish tank,There is a shark living in my fish tank,"A shark cannot be kept in a fish tank, it's too big and dangerous",Fish can be kept in a fish tank,Sharks are attracted by the smell of blood inside the fish tank,You should not have a shark in your fish tank.,Fish tank is not a larger water body
parents often reward their children for behaving well,parents often punish their children for behaving well,behaving well is a nice thing which deserves rewarding rather than punishing,parents rewards their children when they help others,parents need to be careful when punishing and rewarding their children,Parent should not punish for good behavior.,Punishment is a negative action.
Leopards can climb trees,Lions can climb trees,Lions don't have the ability to climb trees,"Lions eat monkeys, which can climb the tree",Lions like to have a rest under the tree,Lions live on the ground and do not climb trees.,Lions are not used to climbing trees.
I open the window and see the sky,I open the closet and see the sky,you cannot see the outside world through the closet,closet is used to contain clothes,looking at the sky can be relaxing,A cupboard does not have the inside facing outwards; it is closed.,There was a hole in the ceiling of the closet.
I am wearing a pair of sunglasses,I am wearing a pair of binoculars,binocular is not something people would wear,binocular can help us to see things far away,He likes wearing shirts and buying binocular,Binoculars are not something meant to be warn.,one person can use only on binoculars at a time.
I first met my boyfriend on September the 30th,I first met my boyfriend on September the 31st,there are only 30 days in September,September is followed by October,"Many people are born in September, including my boyfriend",There are only 30 days in September,There are not 31 days in September.
the day before Friday is Thursday,the day before Friday is Saturday,the day after Friday is Saturday,people like Saturday because no work is needed on Saturday,"There are seven days in a week, including Friday and Saturday",the  day before sunday is saturday,Saturday comes after Friday.
Turn on the wipers when driving in the rain,Turn on the lights when driving in the rain,turning the lights on is not helpful when driving in the rain,driving in heavy rain could be dangerous,My cars' lights are broken when raining,A train is driven by a train driver.,Vehicle lights don't wipe rain water off the windscreen.
my dream is to be a doctor because I want to cure people,my dream is to be a doctor because I want to educate people,"educating people is the teachers' duty, not the doctors'",children need good teachers to teach them and doctors to cure them,"Having good education always means that you will find a good job, like the doctor",Doctors cure people not educate them.,A doctor's job is not to educate people.
you need to slow down when driving to a school area,you need to speed up when driving to a school area,we should drive carefully and slowly when passing through school areas,Roadside signs in the school area can alert people of the nearby road condition,School areas are usually crowded during school hours,"A school area has young people around, so you have to drive at low speed.",Speeding in a school zone is dangerous to school children.
we should put the carton in the recycling bin,we should put the carton in the non-recycling bin,Cartons are recyclable,we should put the plastic bag in the non-recycling bin,There are many non-recycling bins and cartons on the street,A carton is a recycling object.,You should recycle paper.
He put the staples into the stapler,He put the staples into the lighter,there is no room for staples in the lighter,people who smoke carry a lighter with them,staples can help staple papers together,"You can't put staples into a lighter, they're not designed for that.",Staples don't go in lighters
"After the accident, she called the insurance company to pay for the damage","After the accident, she called the police to pay for the damage",it's not the police's duty to pay for the damage after a car accident,no one wants to have a car accident and pay for the damage,we should call the police if there is a car accident,The police will not pay for things.,Police do not pay for damages.
She drew a picture with a crayon,She drew a picture with a flute,"a flute is a kind of instrument, not a painting tool",there is a flute on the picture,you can use different tools to draw a picture of a flute,"A flute is for playing music, it cannot draw.",Flutes cannot be used to draw.
I cut the paper with scissors,I cut the paper with erasers,Eraser is used to erase pencil marks and it cannot cut things,Children should not be allowed to cut papers by themselves,Both erasers and papers are stationeries,erasers cannot cut paper,Sn eraser is too soft to cut paper.
John is using a spoon to eat his soup,John is using a knife to eat his soup,a knife cannot hold liquid so it is not suitable for eating soup,a knife is necessary when you eat a steak after the soup,"After the soup, I want to buy a knife",You cannot use a knife to eat liquid.,It's hard to eat soup with a knife.
The blocks fell down so the child began to cry,The blocks fell down because the child began to cry,the child crying cannot cause the blocks to fall down,children inside the same blocks always know each other,blocks are more likely to fall when they are piled high,A child crying does not have the ability to cause items to fall.,blocks are non living thing
my neighbors were causing a lot of noise so I closed my windows,my neighbors were causing a lot of noise so I opened my windows,Opening the windows would only let more noise come in,it is not polite to make noise at night,opening the window will let the fresh air in,Opening windows allows more sound to come in.,Opening windows will only allow more sound to come in.
the light was too dim so I stopped reading,the light was too dim so I began reading,dim light is not suitable for reading,the lamp may darken if it is used for a long time,I read until the light was too dim,You need light to read.,To read you will need good lighting and dim lighting would make doing so very difficult
"She caught a cold, so she put on a mask to avoid spreading it to others","She caught a cold, so she put on a helmet to avoid spreading it to others",a helmet cannot help to prevent transmission of germs,she wears a helmet when she rides a bike,sometimes people wear masks because of the cold weather,For health reasons one would use a mask to cover the face and not spread germs and a helmet is used basically in sports to protect the head.,helmet is used while driving
He put on his shoes with his hands,He put on his shoes with his eyes,The eyes cannot do the actions of putting on the shoes,eyes and shoes are very important to humans,it would be difficult to put on the shoes if the eyes cannot see,You cannot use your eyes to put on your shoes.,One can not use eyes to put on his/her shoes.
we held a party at Katie's house last week,we held a party in the library last week,the library is a place where people read and study and parties are not allowed in it,not everyone likes parties or studying in the library,there are many preparations to do if you want to hold a party,A Library is a quiet place to study.,"Libraries are quiet places, not for parties."
My cat's nails are so long that they scratch me,My cat's nails are so short that they scratch me,"short nails won't scratch people, long nails will",the cats' owners should remember to cut their cats' long nails in time,skin scrapes should be disinfected as soon as possible,Very short nails do not scratch.,cat's nails are naturally long
after finishing the assignment I felt relaxed,after finishing the assignment I felt stressful,there's no need to feel stressful after the assignment is finished,I could use some rest to release stress after finishing the assignment,difficult assignments can be a source of stress,Stressful cannot be appear after finishing the assignment.,Completing the work will lead to a calming effect.
I missed the deadline of the paper and felt upset,I missed the deadline of the paper and felt at ease,missing the deadline is a depressing thing,you should not delay your work if you don't want to miss the deadline for your paper,People felt at ease if they finished their paper before the deadline,Missing deadlines can cause anxiety.,"If you miss a deadline, you would feel upset, not at ease."
He put out the fire by pouring water on it,He put out the fire by pouring oil on it,the oil would only make it burn even hotter,oil can be used for cooking and making fire,call 911 when there is a fire or oil exploration,Oil will make a fire stronger.,Oil accelerates fire.
There are still many areas where people do not have enough food to eat.,There are still many areas where people do not have enough air to breathe.,Air is sufficient on the earth and there won't be a shortage of air in any area.,There is not enough air under the water for people to survive.,People in different areas live in different air conditions.,THERE ARE PEOPLES ENOUGH TO BREATH.,Air is present everywhere on earth.
"when there is too much rain, there is a risk for flood","when there is too much sunlight, there is a risk for flood",sunlight is not the cause of the flood,a flood means there will be a lot of water,a moderate amount of sunlight is good for health,"Sunlight evaporates water and means that the flood tables are likely low, so floods are unlikely.",sunlight is not responsible for floods
my favorite thing is boating in the lake,my favorite thing is skiing in the lake,a lake is not the right place for skiing,there are different kinds of fish in the lake,skiing could be dangerous for beginners,Only water skiing is done in the lake.,skiing is done in the air
He liked this singer a lot so he went to her concert,He disliked this singer a lot so he went to her concert,people won't go to a singer's concert because they dislike this singer,singers can make money by holding concerts,different people have different favorite singers,He wouldn't want to see a singer he dislikes.,One does not go the concert of a singer if he dislikes him.
we cooked too much rice so some were left.,we cooked too little rice so some were left.,"food is often left when it is too much, not too little",left food cannot be kept for long,It is difficult to control the amount of rice to avoid leaving some rice,too little rice will definitely get completed,"If you cook too much, there is none left."
Dishwasher brings us convenience,Dishwasher brings us a lot of trouble,Dishwasher frees us from washing dishes by hands,Many apartments offer dishwashers to their residents,No one likes trouble,Dishwashers are a modern convenience.,Dishwashers are an appliance used for cleaning.
the ground was covered by leaves after the storm,the ground was covered by wind after the storm,the wind is made up of air and can cover nothing,the storm can bring a lot of wind,the storm will blow away many things covers on the ground,After a storm ground is covered with dust.,Wind storms are in the air above the ground so the ground cannot be covered by wind but only by the items the wind carries and drops on the ground.
Not all tableware can be put into the microwave for heating,All tableware can be put into the microwave for heating,Some materials can not be placed in the microwave oven for heating,Using the microwave to heat leftovers is convenient,Tableware are made of different materials,Not all tableware can be put into the microwave for heating,Tableware should not be put into the microwave.
Cindy is really tired so she decides to go to bed earlier,Cindy is really tired so she decides to stay up late,staying up late will make people feel more tired,staying up late is not good for health,people have no energy when feeling tired,Staying up late will not help a tired person.,You wouldn't want to stay up late when you are very tired.
apple is healthy for our life,apple is unhealthy for our life,Apple has a lot of nutrition,People should take care of their health and eat some apples,Apple will publish its new products in September,Fruits contain many vitamins.,Apples are nutritious.
Some people do not eat pork,Everyone likes pork,People having special religion could not eat pork,Pork becomes much more expensive in China recently,"Everyone should keep a balanced diet by eating some meats, like pork",Not everyone likes pork.,"I don't like pork, it's against my religion to consume any pig based products."
People should drink some water after sports,People should drink some water before sports,Doing sports will decrease the partition of water in our body,People should drink water and do sports every day,Water pollution is a serious problem around the world,One drinks some water after sports.,drinking water before sports can cause trouble in performance.
We should take public transportation to decrease pollution,We should take a private car to decrease pollution,Public transportation will release less harmful gas than private cars,We should change our transportation method to decrease pollution,Public transportation is usually very crowded,Private cars cause pollution.,Using private cars will create more pollution.
"My son studied so hard, so he got a high grade","My son got a high grade, so he studied really hard",Studying hard is the reason for getting a high score but not the result,Every student should study harder to pursue higher grade,My son sometimes is facing too much pressure,If a person gets a high grade he/she studies as usual.,"One does not study because one gets a high grade, but studies hard so one can obtain a high grade."
You should wear more clothes when the winter is coming,You should wear fewer clothes when the winter is coming,"Winter is so cold, so people should wear more clothes",Chinese Spring Festival is in winter,"In winter, people like to wear clothes in dark colors",When winter is coming it getter colder so one needs to wear more clothing.,You shouldn't wear fewer clothes when winter is coming because the weather is getting colder so you will be cold.
People could not live without food,People could survive without food,Food is essential for our living,"If you want to lose weight, you should eat less food","For the poor, surviving is a big problem because of the lack of food",People cannot survive without food or drinks due to the body's nutritional needs.,You need to eat in order to live.
People should drink water every day,People should drink paint every day,Paint is poisonous for our human,Some people prefer to drinking coke,Paint has a special smell,Paint is toxic.,Paint is not a drink so one should not drink paint at all.
Please do not touch the fire,Please touch the fire,Fire is too hot and will hurt our body,We need fire to cook,The first time for people to use fire was around ten thousand years ago,Fire will burn skin.,You should not touch the fire because it will hurt you.
I wear shoes on my feet,I wear shoes on my face,Shoes are for our feet but not face,People should keep their shoes clean,You can not judge a person just from his face,Shoes are not for your face.,Shoes belong on the feet.
Tigers only eat plants,Tigers only eat meat,Tigers are carnivores,We can see tigers in the zoo,Not everyone knows the taste of tiger meat,tigers are plant eating animal,Tigers eat meat only. It is a sensical statement.
I love the glacier in Iceland,I love the glacier in Taiwan,Taiwan doesn't have a glacier,Taiwan is an island near to the mainland of China,Some people living in Taiwan like the glacier,Glaciers only occur in very cold climates.,Taiwan does not have any glaciers.
I will go to China to see pandas,i will go to South Africa to see pandas,Pandas' habitations are mainly in China,Pandas are really cute,China sends several pandas to South Africa as gifts,There are no pandas in South Africa.,There are no pandas in South Africa.
China is one of the largest countries in the world,China is one of the smallest countries in the world,China has the largest population in the world,China is smaller than Russia,China is a country which has more than five thousand years of history,China covers the largest area in Asia and is not one of the smallest countries in the world.,China is much bigger than other countries in the world.
People can not see everything clearly at night,People can see everything clearly at night,"At night, it is too dark for our human to see everything clearly",People will sleep at night,"With a flashlight, people can see everything clearly at night",People can see very little at night due to the structure of our eyes.,Most people see clearer in the light.
People can not ride a bike on the sea,People can ride a bike on the sea,People can not stand on the surface of the water,The sea is bigger than a bike,"Riding a bike causes too much energy, just like swimming in the sea",Bikes will sink in water.,"The surface of the sea is not solid, so a bicycle would not stay on the surface for riding."
Blackpink is one of the most popular singers in the world,Blackboard is one of the most popular singers in the world,Blackboard is not singers,People can write the lyric of songs on the blackboard,That singer buy many blackboards for our school,Blackboard is not a singer.,"Blackboards are tools, not people."
You should wear sunglasses under the sunshine,You should not wear sunglasses under the sunshine,Wearing sunglasses could protect your eyes from the sunlight,Sunglasses are expensive,People under sunshine looks brighter,Sunglasses are designed to be worn in the sun.,Under the and while outdoors is when one should wear sunglasses.
You can wear a bikini on the beach,You should wear a bikini in the cinema,Bikini is not suitable for the cinema,Wearing bikini looks sexy,People will keep silent in the cinema,"Cinema is a busy public place ,it will look very awkard to wear bikni.",A bikini is inappropriate for the cinema.
People will sleep at night,People will sleep in the morning,People need to have rest at night to prepare for the next day's work,The temperature at midnight is lower than 10 am in the morning,Some people can not sleep at night because they need to work at that time,People begin their days in the morning and sleep when it's dark.,people go to seep at night and wake in the morning
I will take the plane to Japan from China tomorrow,I will take the subway to Japan from China tomorrow,There is no subway from China to Japan,Japanese culture is similar to Chinese culture,Both China and Japan have many subways,There is no subway connecting Japan and China,The subway does not run from Japan to China.
Yesterday I ate three times,Yesterday I ate thirty times,People usually eat three or four times a day,Yesterday my son learned how to pronounce the word 'thirty',People need food for the living,People do not eat 30 times per day,Thirty times is an excessive number of times to eat.
I use my laptop to play League of Legends,I use my mobile phone to play League of Legends,League of Legends is a video game running on the computer,People can use their mobile phone to watch videos of League of Legends,Laptop is usually more expensive than a mobile phone,League of Legends can not be played on mobile phones.,League of Legends is not typically played on a mobile device.
I can use my phone to watch video,I can use my bike to watch video,You can not use your bike to watch video,Biking is a way to exercise yourself,People can ride a bike to the cinema to watch videos,A bike is a form of transportation.,Bikes do not produce video.
I wear a hat because today the sunlight is so strong,I wear a coat because today the sunlight is so strong,Wear a hat protects you from being hurt by the strong sunlight,People will wear a coat and stand under sunlight when they feel cold,Hats have many different styles,"One wears a coat not because of sunlight being strong, but because it is cool(er) and the warmth of the coat is needed when outdoors.","Wearing a coat in sunlight makes one swear a lot, so nobody wears it."
I ate hotpot today,Hotpot ate me today,"people eat food, but not food eats people",Chinese people like eating hotpot,People usually eat hotpot in winter,Food can't eat anything.,Hotpot is just a chinese cooking method not any living creature that will eat Humans.
You can learn English from English people,You can learn Chinese from English people,English people will teach you English but not Chinese,China has a close relationship with England,Many Chinese students will learn English in school,"The best way to learn Chinese is from Chinese people, or immersion.",The native language of English people is not Chinese.
My father goes to his office to work every day,My pet goes to its office to work every day,Pets do not need to work in the office,My father loves working and my pets,My father sometimes keeps my pet in his office,Pets do not have responsibilities.,Pets don't have offices to work
My mother buys a bag for me,My bag buys mother for me,"Only person can buy bags, but bags can not buy a person",I really like the bag my mother bought for me,My mother goes to the mall to buy a bag for me,"Bags are incapable of purchasing things, and people cannot be purchased anyway.",bag is a non-living thing
My sister likes driving the car,My dog likes driving car,"Dogs can not driving, but the human can",My brother can drive cars and likes my dog very much,My parents like to bring my dog and drive the car for a ride,Only humans can drive cars.,People drive cars and dogs ride in the cars with people but dogs cannot drive cars.
My parents buy a piece of cake for me as a gift,My parents buy a son for me as a gift,You can not buy a person as a gift,Parents can buy their sons some gifts,My parents told my son to take care of the gift carefully,A person cannot be purchased as a gift.,Children are not presents.
The sharks live on the sea,The sharks live on the land,Sharks are aquatic animals but not land animals,Sharks sometimes will attack animals living on the ground,It is dangerous for the human who living on the ground to meet a shark,"Sharks are an ocean animal that live in water and, because land is dirt etc and not water, sharks are unable to exist on land.",Sharks do not live on land.
Giraffes eat leaves from trees,Giraffes eat leaves from sea,Leaves are on the trees but not sea,Giraffes are land animals and can not live in the sea,There are a lot of fishes on the sea and leaves on the tree,There are no leaves in the sea.,Leaves grow on trees and not in sea
"Monkeys like bananas, but tigers don't like bananas",Both monkeys and tigers like eating bananas,"Monkey eats bananas, but tigers are carnivorous animals",Tigers sometimes will eat monkeys as their foods,"Monkeys live on the tree and eat bananas, but tigers live on the land",Tigers don't typically eat bananas.,"Tigers do not eat bananas, the would rather eat a monkey."
I clean my hands before eating,I clean my feet before eating,people use their hands not feet to eat,people should keep both their hands and feet clean,people need to keep clean and eat every day,YOu don't eat with your feet so its pointless cleaning them before eating.,Cleaning feet has nothing to do with eating preparation.
Hongkong is a part of China,Hongkong is not a part of China,Hongkong belongs to China after British finish its govern in Hongkong,Some people in Hongkong do not regard themselves as Chinese,Some people in Hongkong want Hongkong to be an independent country,Hong Kong is an administrative region of China.,Hong Kong used to be a British colony.
I can swim in the water,I can fly in the sky,Humans can swim in the water but can not fly in the sky,Some birds can fly in the sky and swim in the water,People can take a plane to the sky and a ship across the sea,Humans can't fly,Humans can't fly.
The wood floats on the water,The wood sank to the bottom,"The wood is lighter than the water, so it would float on it",The wood soaked the water will rot,Some plants are living at the bottom of water,Wood float in water.,wood is lighter than water
There is a lot of salt in the sea,There is a lot of sugar in the sea,"Seawater contains a lot of salt, but does not contain sugar","Sugar tastes sweet, and salty tastes salty",People can get salt from the sea,Sea is comprised of saltwater so it has a lot of salt not sugar.,The sea is full of salt.
The seawater is drinkable,The seawater is not drinkable,"Human could only drink fresh water, and the seawater is not drinkable",Seawater pollution is a serious problem for human,"By distillation, we can change the seawater into drinkable water",Seawater is drinkable only when desalienated (salt is removed).,seawater can be filtered and drunk
The spring comes before the summer,The summer comes before the spring,"The order of the seasons is spring, summer, autumn, and winter",The average temperature in summer is higher than in spring,In summer people wear fewer clothes than in spring,The spring comes before the summer,Summer follows spring.
People should drive slowly when meeting a zebra crossing,People should drive fast when meeting a zebra crossing,The driver should drive slowly to give way to to the passengers on zebra crossing,People should walk on the zebra crossing when crossing the intersection,Driver should drive slowly in the city,Driving fast would increase the chances that a zebra  would  get hit.,a zebra crossing should be driven by slowly
I finished primary school and went to high school,I finished high school and went to primary school,The requirement for entering a high school is to finish primary school,"In both primary school and high school, we can learn something","In both primary school and high school, we need to pay the fee",Schooling progresses in a certain order and primary school comes before high school.,High school comes after primary school.
"I am going to be late, so I walk faster","I am going to be late, so I walk slower",People usually walk faster when they are in a hurry,Walking fast can cost more calories than slowly,Walking fast will make people more tired than walking slowly,"If you are late, you should move faster.",Walking slower will not help avoiding being late.
"His friend laughs at his haircut, so he is upset","His friend laughs at his haircut, so he is happy",No one will feel happy when being laughed by others,We should not laugh at our friends' haircut,People sometimes want a new haircut to avoid being laughed at by others,Being laughed at is not an enjoyable experience.,People don't tend to feel happy if their friend is laughing at a haircut they have just gotten.
"She is mean to me, so I dislike her","She is mean to me, so I like her",People who are mean to others won't be liked,We should not be mean to people,We don't need to like everyone,The fact of someone being mean to you is not a common characteristic when liking someone,Meanness usually elicits unpleasant feelings in the recipient.
"She got a high score, so she is brilliant","She got a high score, so she is popular",Getting a high score does not mean that will be popular,You need to treat others friendsly if you want to be popular,You need to work hard to get a high score,High scores are not linked to popularity.,High scores do not equate popularity.
"She is heavy, so she wants to lose weight","She is thin, so she wants to lose weight","Thin people do not need to lose weight, but the heavy people need","No matter heavy or thin, health is the most important thing",It is really hard to lose weight for heavy people,Thin people typically don't want to lose weight.,She is thin and does not want to lose weight
"I like singing, so I go to KTV","I like singing, so I go to the cinema","People should keep silent in the cinema, so they can not sing",Some movies in the cinema are about singing,People can go to the cinema and listen to the song in movies,Singing takes place in a church or chorus and viewing movies takes place in a cinema so one would not generally go to a cinema to sing as it would disrupt other viewers.,You can't sing in the cinema
"I liking swimming, so I went to the swimming pool yesterday","I like swimming, so I went to the zoo yesterday",Zoo is not the place for swimming,We can watch animals swimming in the zoo,Some animals in the zoo can swim in the water,The zoo is a place where you can see animals.,There are no pools at the zoo.
