id,FalseSent,OptionA,OptionB,OptionC
8295,Soldiers often need easy training.,Soldiers need to train to learn how to guard the country,The work of soldiers is not easy,Soldiers need to go through hard times.
8296,The sun still exists on cloudy days,It's likely to rain on cloudy days.,"On cloudy days, dark clouds obscured the sun.","after the cloudy days, the sun shines again"
8297,Drinking too many drinks is good for your health.,"Drinks contain a lot of sugar, which is not good for your health",Additives in beverages can cause harm to the body,many people like to drink too much and have health problems
8298,Coke is a fruit juice drink.,Coke is not made from fruit juice.,Juice is pressed from the fruit.,both Coke and juice are popular drinks
8299,People should conflict with each other.,People should live in peace and understand each other.,There are frequent conflicts between police and gangsters.,"when having conflicts with each other, people should try to understand others"
8300,You don't need to buy tickets when you take the train.,Trains are a means of transportation.,people can buy train tickets online or at the train station,Everyone needs to buy tickets when they take the train.
8301,The duty of a doctor is to protect his family and his country.,the doctor is protected by his homes and his country,doctors should obey their duty to help others,It is the duty of soldiers to protect their homes and their country
8302,Tides are an artificial behavior.,There are many other natural phenomena in the world except tides,Tides are related to the motion of celestial bodies and are a natural phenomenon.,Artificial behaviors will affect many natural phenomena
8303,Everyone wants to be ugly.,no one prefers to make friends with ugly people,Beauty is what everyone pursues.,he is liked by many people even he is ugly
8304,Wolf is a very gentle animal.,Wolves are very aggressive and fierce.,Little White Rabbit is a very gentle animal,Wolves will eat small and gentle animals
8305,Petroleum is a renewable energy source,not all the earth's resources are renewable energy sources,We should conserve petroleum,"Oil is not renewable, so we need to protect the environment."
8306,Human beings usually sleep during the day and work at night.,Human can choose to work during the day or at night,human beings are free to sleep during the day or at night,Most people live according to daily work and night rest routine.
8307,Dinosaurs are the ancestors of mankind,the ancestors of mankind should also be animals,the ancestors of dinosaurs can not be mankind,Scientific research shows that monkeys are the ancestors of humans.
8308,The amusement park is a good place to sleep.,Children like to go to amusement parks after sleeping,"after coming back from the amusement park, children feel sleepy","Amusement parks are not suitable for sleeping, because it is too loud"
8309,Trees absorb nutrients by eating,Trees absorb nutrients from the soil,Trees have no mouths and cannot eat,bugs can absorb nutrients by eating leaves on trees
8310,I squeezed the tomatoes on the bread.,Many people like to eat bread with tomatoes,"Tomato is a fruit, not a liquid",we can squeeze the tomatoes to make tomato juice
8311,The invention of airplanes disrupted people's lives.,Airplanes shorten the distance between people.,Airplanes facilitate people's travel and life.,many inventions do disrupt people's lives
8312,Everyone should block ambulances,An ambulance is blocked unless there is an emergency,Ambulances can only be dispatched in an emergency.,The law stipulates that everyone must give way to ambulances.
8313,Honey is the juice secreted by the queen bee.,The queen bee does not produce nectar.,queen bee eats the honey secreted by bees,Honey is very sweet and the queen bee is big
8314,Diamond is made up of metal elements.,Diamond is harder than many metal elements,diamond is much more expensive than many metal products,Diamond is an allotrope of carbon
8315,Vegetables can provide people with plenty of fat.,junk food provides with plenty of fat,There is no fat in vegetables.,fat people should eat plenty of vegetables.
8316,The moon is always round.,The moon illuminated the darkness.,people like to enjoy the moon when it is round,"The moon waxes till it becomes full, and then wanes."
8317,The territory of every country can be violated,violating other countries' territory is shameless,countries should fight for their territory,The territory of a country is an integral part of the country.
8318,"The universe has only one planet, that is Earth.",The universe is much bigger than the earth,Our world is only a small part of the earth.,"We know very little about the universe, even about the earth"
8319,Thieves steal people's arms,Man's arms cannot be stolen,people use arms to catch thieves,Thieves use arms to steal products
8320,Music is a very bad sound.,Music can bring people happiness,There are many kinds of bad sound in the world,music can cheer up the people who are in bad emotion
8321,A scarf is only a decorative article.,a scarf has the function of decorating our bodies,The main function of a scarf is to protect us against the cold.,The scarf is on the neck to against the cold
8322,Refrigerator accelerates food deterioration,Refrigerators can provide a low-temperature environment,Low-temperature environment can prolong the shelf life of food,food also will deteriorate even being stored in the refrigerator
8323,Man is the largest mammal in the world.,Whales are mammals and larger than men,There are many mammals in the world.,Man is the cleverest mammal in the world
8324,Rabbits are cold-blooded animals.,A rabbit has two long ears.,the cold-blooded snakes will eat rabbits,Rabbit is a lovely warm-blooded animal.
8325,Minors can buy cigarettes,Cigarettes are very harmful to minors,minors can pick up cigarette butts to protect the environment,The law prohibits minors from buying cigarettes
8326,the gym is a good place to eat.,there is a good restaurant to eat near to the gym,Eating can provide energy for people to do exercise in the gymnasium,the gym is a place to play sports rather than eating
8327,I like watermelon very much because it's very unpleasant.,rot watermelon is very unpleasant,people think fresh watermelons are pleasant,people would hate unpleasant things rather than like them
8328,"He is a selfish man, so he is very popular.",Do not blame your life if you are selfish,Selfish people are disgusting.,"Some popular people around us are more and more selfish, they only care about themselves."
8329,I squeeze oil on bread for breakfast,eating too much oil at breakfast is unhealthy.,Bread is a kind of baked food.,Oil is not meant for breakfast.
8330,the Steam engine is the most important record in human history.,There are many successful inventions and records in the world.,the steam engine is not a record but an invention,Europe makes a lot of records about the steam engine in the world
8331,Peter was five minutes late to catch the last bus.,people should arrive on time to avoid missing the bus,many people are used to be late for five minutes,Peter was too late to catch the last bus.
8332,The poor are very rich.,the gap between the rich and the poor is larger these years,the poor also want to be rich,The poor have no money.
8333,Basketball is one of my favorite instruments.,Basketball is not an instrument,Many boys like to play basketball.,Instruments can make wonderful sounds.
8334,We can go to the barbers for dinner.,Hair has a great influence on a person's appearance.,the barbers need to eat to enable that the body can get enough energy.,You should go to a restaurant for dinner.
8335,He likes to explore the sea on foot.,Many people like to explore the sea,Man cannot walk on the sea,people can explore the beach near to the sea on foot
8336,Sound can travel in a vacuum.,Man cannot breathe in a vacuum,sounds can travel faster than human running,"sounds need a medium to transfer, but there is no such a medium in a vacuum"
8337,The common people are the most powerful people in ancient times,The common people had no rights in ancient times.,The most powerful people ruled the common people in ancient times,There were many common people but a little powerful people in ancient times
8338,Mobile phones are a portable mean of transportation,Mobile phones are not a means of transportation but for communication,A car is a means of transportation.,"when driving transportation, people should not use mobile phones to talk to others"
8339,Crossing the road is very safe.,There are many cars crossing the road,Crossing the road is unsafe.,We should obey the traffic rules to keep us safe when crossing the road
8340,Everyone should have a quality of deception.,We should cultivate good quality.,deception is not a quality that people will praise,People who have good qualities will not deceive others
8341,A hat is only an ornament,A hat can protect us from being hurt by the sunlight,You need to wear a hat when the sunlight is so intense,people can use hats to decorate their faces
8342,The ear is the organ to see,The ear is actually an auditory organ.,people have many organs in their bodies,we can use our organ to see others' ears
8343,Friendship is an important food,we like to eat food with a friend,Friendship is not the name of a food,friendship and eating food are very important.
8344,Everyone's life habits are the same.,People have some unhealthy life habits.,people like to make friends with whom have the same life habits as themselves,Different people have different habits.
8345,People need to wear short sleeves in winter to resist the cold.,"some girls want to look beautiful, so they will wear short sleeves in winter",Short sleeves are very thin and cannot withstand the cold.,"in winter, people use heater to resist the cold"
8346,Different styles of dressing will give people the same feeling.,Different styles of the dress look different.,the same people have different styles of dressing and feelings at different time,It is very important to have your own unique style of dressing and feeling to the world
8347,Ships need to travel on land.,Ships cannot travel on land,we can make ships on land,people travel on land to the seaside and take ships
8348,A lot of alcohol is good for your health.,Large amounts of alcohol can cause serious harm to the body.,Liquor contains a lot of alcohol.,it is good for your health to stop drinking alcohol
8349,Drivers without a driver's license can drive on the road.,Driver's license needs to pass four subjects,Drinking can't drive on the road,Only those who obtain their licenses through legal channels can drive on the road.
8350,Emergency lanes can be occupied on expressways,Emergency lanes should not be occupied on expressways.,cars on emergency lanes can drive faster than on expressways,there are expressways and emergency lanes on the highway
8351,There are many plants in the desert.,the plants living in the desert can tolerate the lack of water,there are many plants and desert in the world,The desert is very dry and there are very few plants.
8352,You should run when you feel tired.,Running can make people more tired.,Running makes your body stronger,Everyone needs to get enough rest.
8353,There are many dinosaurs in the school.,there are many models of dinosaurs in the school,people can learn the knowledge of dinosaurs in the school,Dinosaurs have long disappeared from the earth
8354,Shoes should be on the hanger,Clothes hangers are used to put clothes.,Everyone needs to wear shoes.,we can buy shoes and the hanger in the mall
8355,People can pick strawberries from trees.,strawberries are red and the trees are green,No tree can grow strawberries.,Many people like to eat strawberries and plant trees
8356,Plastics are very hard.,Plastics are very vulnerable,There are many plastic products in life.,the plastics are hard to decompose in the soil
8357,Pigs can survive in the ocean.,Pigs can survive on the ship in the ocean,"Pigs can't breathe in the ocean, so they can not survive in the ocean",many animals survive in the ocean
8358,Clothes can be used to make rings.,Rings are more valuable than clothes,Girls like buying beautiful clothes and rings,Rings are made of diamonds bur not clothes
8359,people beings do not need to eat to get energy.,people like to eat delicious food,some foods contain more energy than others,Eating is an important way for human beings to get energy.
8360,Tigers live in the ocean,The sea is not suitable for tigers.,tigers also will eat the fish living in the ocean,the ocean is bigger than a tiger
8361,I need to take a bath to alleviate hunger.,"after alleviating hunger, he took a bath","after taking a bath, he felt hungry",Bathing does not increase energy for the body
8362,Buses need water to run.,Buses cannot run with water,the bus driver needs to drink water every day,we can bring water onto the bus
8363,Makeup can make girls uglier,makeup is common for a girl,Make-up will make girls more delicate,many girls want to learn how to makeup to change their ugly faces
8364,Cars can travel in the sky,The sky is bigger than a car,A car can't run in the sky.,we can take the plane in the sky or a car for traveling
8365,The rabbit is very ferocious.,Rabbits like carrots,Rabbits are not fierce.,some ferocious animals will eat rabbits
8366,Many people like to drink gasoline.,"after buying gasoline, he drinks some water for a rest",Gasoline cannot be used for drinking,Gasoline is an industrial raw material
8367,Piranha is a very gentle fish.,Piranha will eat some gentle fish,"Piranha can even eat people, so they are ferocious",Sheep is gentle animal.
8368,Salt is the most common animal in life.,Salt is not an animal's name but a condiment,animals also need to eat salt,we can find salt in many animals' bodies
8369,Cups can be used for eating,cups can be used maintaining the food people will eat,The cup is not edible.,we can buy cups and foods to eat in the supermarket
8370,the ocean is fit for human existence,The ocean is fit for people to swim in,a human can exist on the food in the ocean,Man cannot live in the ocean
8371,Old skin becomes very smooth.,Human skin is rich in the water when people are young,many people want to have smooth skin,"The older a man is, the rougher his skin is."
8372,Drinking too much beer will give you an appetite,Drinking too much beer only makes people vomit.,People who are appetite also want to drink beer,Many people like beer very much.
8373,Driving through the sidewalk should be accelerated,drivers will accelerate when there is no one on the street,No acceleration through the sidewalk,you can not avoid driving through the sidewalk in the city
8374,There are many deserts in the Arctic.,The desert is very arid.,there are many deserts far away from the Arctic,the Arctic is full of ice but not sand.
8375,"When you feel cold, you should cut down on clothes.",she did not wear enough clothes so she felt cold today,she cut down on clothes because she did not feel cold,Fewer clothes will make it colder
8376,There are many animals in the entertainment circle.,people in the entertainment circle also will like small animals,Animals do not belong to entertainment circles,some people in the entertainment circle call on the public to protect animals
8377,Wool comes from shearers.,Wool can be made into clothes.,Shearers do not produce wool,we use shearers to cut wool
8378,"This dress is very cheap, so I can't afford it.","some dresses are cheap, while others are expensive","Clothes are inexpensive, so I should be able to afford it.",many people can afford the cheap dress
8379,Lemon tastes very sweet.,Many people like to eat sweet fruit.,Lemon is an acid fruit.,Lemon sometimes is used to dilute the sweet
8380,The color of the sea is red.,There are some red fishes living in the sea,many corals living in the sea are red,"because of the reflection of the light, the sea is blue but not red"
8381,Heater can provide a low-temperature environment,Heater can only provide heat but not low-temperature,heater can be used to heat a low-temperature environment,"when you feel the temperature is too low, you need to turn on the heater"
8382,We can go swimming in the classroom,Swimming can make you stronger,"there is no swimming pool in the classroom, so people can not learn swim","after taking a course in classroom, students went swimming with friends"
8383,Many people like to make phone calls with bricks.,he called his friend on the phone and talked about the price of bricks,Bricks can't be used to make phone calls,Mobile phones are more expensive than bricks.
8384,She likes to travel by mobile phone.,"during travel, people should bring their mobile phones",many people like to use a mobile phone and travel,Mobile phones can only be used for communication
8385,You can shift the sun and let the sunshine in.,The sun cannot be transferred by people,people can shift the curtain to avoid the sunshine,many people like to sleep under the sunshine
8386,You should go to the cook when you are ill.,cook's job is cooking but not treat illness,people should not cooking when they are ill,the cook is ill so he closed the restaurant
8387,There are many little white rabbits floating in the sky.,Little White Rabbit is very cute.,Little white rabbit looks like clouds but can't float in the sky,both the clouds and rabbits are white
8388,We can eat food from books.,"after reading, he ate some food",there are books about food,There is no food in the book.
8389,Gasoline can be used to put out fires.,Gasoline explosion can cause a fire,we should keep the fire away from gasoline,Gasoline will make the fire burn harder
8390,Internet cafe is a good place to learn,The environment of Internet cafes is very noisy and unsuitable for learning.,There are many computers in the Internet cafe.,"after learning, he went to the Internet cafe to have a rest"
8391,The fresh cake tastes terrible.,Cakes are made of bread and butter.,the outdated cake tastes terrible,The fresh cake is sweet and delicious.
8392,Elephants are one of the most important human inventions.,people invent some tools to prey elephants,Elephants are not an invention but an animal,Elephants are very important to human.
8393,People can have fun in the company.,People should work in the company.,There are companies that produce toys children can have fun with.,People can have fun with their colleagues in their companies after work.
8394,Dinosaurs still exist today.,Dinosaurs died out long ago.,Dinosaurs have existed before.,There exist some dinosaurs' fossils today.
8395,I have five legs.,Humans have five fingers each hand.,Everyone has legs.,Humans have two legs.
8396,I can heat food in the washing machine.,I can heat food after using the washing machine.,A washing machine is an electrical appliance for washing clothes.,The washing machine is easy to operate.
8397,Maple leaves are green in the autumn.,Maple leaves are green in the spring.,Maple leaves change from green to red in autumn.,Some leaves are red in the autumn.
8398,The duty of a soldier is to teach and educate.,Soldiers can be taught and educated.,It is the teachers' duty is to teach and educate.,Each soldier knows his duty.
8399,People can go into space by plane.,There are some space seats on the plane.,People can't go into space directly.,There is no air in space so the plane can't fly there.
8400,I wear sandals in winter.,Winter is too cold to wear sandals.,People can wear sandals at home in winter.,People can buy sandals in winter.
8401,Man walks on ten legs.,A man has only two legs.,Legs help us to walk.,Man has ten fingers.
8402,I called a fireman after she fainted,A fireman is not helpful when someone faints,After she fainted she I thought of the fireman.,Firemen can also faint.
8403,Penguins live in the air.,You can see penguins on land when you are in the air.,Penguins have wings.,Penguins can't fly.
8404,All girls like handsome guys.,Nearly all girls have seen handsome guys.,There are a lot of girls who don't care about looks.,Handsome guys are usually more popular among girls.
8405,I look shorter in high heels.,Wearing high heels is not comfortable.,Wearing high heels will increase height.,Those who are shorter would like to wear high heels.
8406,Flies bite people.,Files have no mouthparts to bite.,People hate flies.,The fly crawled on the apple I had bitten.
8407,Students can cheat on exams.,Some students want to cheat on exams.,Cheating in the exam is forbidden in the course of the exam.,Some exams allow students to bring a cheat sheet.
8408,People can drive on the road without a license.,People have to get a license to drive.,People have to pass an exam to get a driver's license.,Driving without a license is against the law.
8409,Those who work hard are sure to succeed.,Some people who work hard succeed.,People who work hard just have a high chance of success.,Success cannot be achieved without hard work.
8410,All people use the right hands to write.,There is no need to force people to use the right hands or left hands to write.,Some people use left hands to write.,Handedness is a sign of laterality.
8411,Music can make people nervous.,There are different types of music that can bring different feelings to people.,Nervous people can listen to music.,"Generally speaking, music is relaxing rather than stressful."
8412,The sun falls in the east.,The sun always falls.,The sun falls in the west.,You can see the sun in the east.
8413,We can see animals in the botanical garden.,There are many plants in the botanical garden.,The botanical garden may be a good place for animal life.,There is no animal in the botanical garden.
8414,You can lose weight by eating junk food.,Some children love eating junk food.,Junk food can make you gain weight rather than lose weight.,She tried to lose weight before eating junk food.
8415,I can play computer games in the cinema.,He played computer games before he went to the cinema.,Cinemas are only for watching movies.,Many people enjoy watching movies at the cinema and playing computer games.
8416,Humans can fly.,Humans want to fly.,Birds can fly.,Humans don't have wings.
8417,"The more you play, the better your grades will be.",Some students have achieved a good balance between achieving good grades and playing.,Playing is not good for you to improve grades.,"Not everyone likes to study hard, but they all want better grades."
8418,The mirage can only appear in the desert.,Mirages sometimes appear over the sea.,It's fantastic to see a mirage in the desert.,Some people have seen a mirage appear in the desert.
8419,Playing computer games for a long time is good for health.,Playing computer games for a long time will waste useful time.,Playing computer games for a long time will make your eyesight worse.,Playing computer games for a long time is meaningless.
8420,Fish can live without water.,Fish breathe in the water and they will die without water.,There are many kinds of fish in the water.,Many fish look beautiful in the water.
8421,I'm hearing the book.,I heard that someone was selling the book.,Book is not sound and can't be heard.,He heard of that book.
8422,Eating breakfast is bad for health.,We are encouraged to eat healthy breakfast.,Eating breakfast helps us keep healthy.,Junk food is thought to be a bad breakfast.
8423,Junk food is good for our body.,Junk food sells good.,Junk food will make the body fat and cause diseases.,Some junk food is easily absorbed by our body.
8424,Writing papers is a great way to relax.,Writing papers is usually a stressful thing.,It's better to be relaxed before writing papers.,It takes effort to write a good paper.
8425,Men can give birth to children.,The life of a man starts from a birth of a child.,Men don't have the organs to give birth.,Parents give birth to their children.
8426,The electric light is a great discovery.,The electric light is a new thing that is invented by human.,Electric lights are invented after the discovery of some important materials.,Edison invented the electric light.
8427,Frogs cannot live on land.,Some food for frogs is on land.,The frog was born in the water.,Frogs are amphibians that can live on land and water.
8428,The coffee tastes too weak for her so she asks for some milk,Some people enjoy strong coffee.,Adding milk to coffee cannot make it stronger,Some people enjoy weak coffee and milk.
8429,We can't take an umbrella on a sunny day.,We can protect our umbrellas against ultraviolet rays on sunny days.,You can buy an umbrella on a sunny day.,He lost his umbrella on a sunny day.
8430,I can fly to school.,The school can't fly.,Some schools are remote.,Humans can't fly.
8431,Fishermen can catch sharks in the river.,The food of sharks come from the sea.,Fisherman can catch fish in the river.,Sharks live in the sea instead of rivers.
8432,Potatoes grow on trees.,Potatoes can grow under trees.,Both trees and potatoes need water in their growth.,Potatoes grow in the field.
8433,Mobile phones cannot be used to take a video.,It's a video about a mobile phone.,People who love taking a video usually own a mobile phone.,Mobile phones have a camera that can take a video.
8434,Men can't stay long hair.,Many men still prefer short hair.,Men have the freedom to stay long hair.,Women can stay short hair.
8435,Tim always goes to the same gym for breakfast,"Before you go to the gym for exercise, remember to have breakfast.",Gym does not offer breakfast,Some people go to the gym in the morning after breakfast.
8436,Having a special skill is not important for new graduates.,Some new graduates have their special skills.,A special skill can help you stand out from other interviewees.,It's important for new graduates to master their major skills.
8437,Mobile phones don't need to be recharged,It usually takes four hours to charge a mobile phone.,Now mobile phones are charging faster and faster.,"If the mobile phone is not charged in time, there will be no energy to continue running."
8438,People don't need to categorize everything out after you use it.,Categorize things so that you can find them quickly next time you use them.,My mother is obsessed with categorizing everything out after she uses it.,Some people hate categorizing everything out.
8439,Young workers are not usually neglected in the workplace.,Young workers feel frustrated when neglected in the workspace.,Young workers don't want to be neglected in the workspace.,Young workers usually lack work experience and decisiveness.
8440,People are not anxious when they go to strange surroundings.,People may be unable to adapt to the strange surroundings.,Sometimes people have to go to strange surroundings.,Some people feel anxious if they are surrounded by strangers.
8441,"When it rains, you shouldn't take an umbrella.","If you don't take an umbrella, you'll get wet and catch a cold.",Some people take an umbrella when it rains.,You can buy an umbrella when it rains.
8442,Excessive obesity is good for your health.,People with excessive obesity don't care about their health.,"Excessive obese people are at risk for type 2 diabetes, sleep apnea, and heart disease.",I have good health and my mom has excessive obesity.
8443,Excessive thin is good for your health,People with excessive thin don't care about their health.,I have good health and my mom has excessive thin.,Excessive thin will be prone to osteoporosis and fracture.
8444,"If you don't understand, you should not ask questions.",Some students do not ask questions when they don't understand.,I don't understand why he asks these questions.,Asking questions others can help you understand the problem from another angle.
8445,People's thoughts shouldn't be updated from time to time,Young people's thoughts tend to be updated more than elders.,Those whose thoughts are not be updated from time to time will eventually be eliminated by the times and fail to achieve great things.,My mom keeps her thoughts updated from time to time.
8446,Playing chess is bad for people.,Playing chess can train people's thinking and coping abilities.,Playing chess is hard for most people.,Many people are bad at playing chess.
8447,Managers usually have no strong abilities.,Managers have many opportunities to exercise their ability to handle things.,Managers often require subordinates to have strong capabilities.,Managers are paid more if they have strong abilities.
8448,Family environment is not important for children.,Children can hardly change their family environment.,It's important to regard the number of children as part of the family environment.,Good family environment can make children more confident and talkative in interpersonal communication.
8449,Peeling doesn't need to be done before eating fruit.,Peeling fruit is as interesting as eating fruit.,Some animal can do the peeling before eating fruit.,There are many harmful chemical residues on the skin of the fruit.
8450,Lions like to eat grass.,Lions have an instinct to hunt.,Antelopes like to eat grass while lions eat antelopes.,Lions are carnivores and do not eat grass.
8451,English teachers are good at teaching arithmetic.,There are English teachers and mathematics teachers in a school,English teachers are good at teaching English.,Teaching is a respectable work
8452,Man can fly by wings.,Man cannot fly because he has no wings.,Swallows can fly by wings.,Some insects also have wings.
8453,He wants to go to the supermarket to buy a pet.,Supermarket lines are often cheaper than branded goods.,Many people want to keep pets because they are lonely,Supermarkets don't sell pets.
8454,I work 30 hours a day.,Sleeping eight hours a day is a good habit.,There are only 24 hours in a day.,Working too many hours a day is exhausting.
8455,Rabbits can imitate human speech.,Rabbits have no ability to imitate human speech.,Rabbits run very fast.,Monkeys can imitate human acts.
8456,People can learn to drive in primary schools.,People can learn to take care of themselves in boarding schools.,Children are sent to primary schools when they reach 6 years old.,Normal schools don't teach people to drive.
8457,Man can be reborn.,No life has been found on the moon.,There is only one life.,Some religions believe a man can be reborn.
8458,We turn on the air conditioner to cool off in winter.,We turn on the television to watch the shows in winter.,In winter the days are short and the nights long.,It's cold in winter so you don't need to turn on the air conditioner to cool off.
8459,Dogs are ferocious animals.,Cats are gentle animals generally.,Ferocious animals can not be kept as pets.,Dogs are friendly to humans.
8460,I can watch the moon rise in the early morning,The moon is sometimes hidden by clouds when you watch it,"In the early morning, the sun rises and the moon falls",The sun and the moon both rise from the east
8461,A car has two wheels.,Buying a car can be costly.,A car has four wheels.,Many cars have two drive wheels.
8462,People eat with their eyes.,People eat western food with forks and knives.,Blind people's eyes cannot see,People look at things with their eyes.
8463,Children like to take medicine.,Bitter medicine is good for disease.,Taking medicine is a common act when you are ill.,Children usually don't like taking medicine.
8464,The patients live in an amusement park.,Children love to go to the amusement park.,An amusement park is a place for people to play.,The patients need good living conditions.
8465,Automobile is an environmentally friendly means of transportation.,Now more and more people are taking environmentally friendly transportation.,Automobile is a convenient means of transportation.,Automobile exhaust will cause environmental pollution.
8466,People are comfortable when they are ill.,Being ill is an unpleasant experience and no one will feel comfortable when ill.,People are weak and need more rest when they are ill.,People are comfortable when they are resting.
8467,Students can cheat in exams.,Cheating in examinations is a violation of examination discipline.,He was punished for cheating in the exam.,Students cheat to pass the exams.
8468,The table can bring us light.,The table doesn't shine.,The sun can bring us light.,We need light to see things.
8469,He eats breakfast in the evening.,He goes to bed early in the evening.,Breakfast is very important to the human body.,Evening is dinner time.
8470,I saw clouds floating in the sea.,A cloud in the sky is a condensation of water vapor in the atmosphere.,There are some boats floating on the sea.,"Clouds do not appear in the sea, but in the sky."
8471,We need to wear cotton jackets in summer.,Girls can wear dresses and skirts in summer.,"It's very hot in the summer, so there's no need to wear a cotton jacket.",Cotton jacket is a kind of jacket which can help us keep warm.
8472,The air people breathe in is carbon dioxide.,Dissolved carbon dioxide makes the water more acidic.,Plants absorb carbon dioxide in the air.,People breathe out carbon dioxide.
8473,People need to sit and walk.,People can't walk while sitting.,People walk on two legs.,People can sit while they are talking.
8474,I wear my clothes on my feet.,Clothes should be worn on the body.,People take off their clothes when they sleep.,I wear my socks on my feet.
8475,I keep the food in the microwave oven.,Microwave ovens are electrical appliances for heating food.,A microwave oven and a dishwasher are domestic appliances.,Food should not be kept in dishwashers.
8476,Eating too much for supper is good for health.,People should have good eating habits because it's god for health.,Eating too late for supper is not good for health.,Eating too much supper can cause a burden on the stomach.
8477,Man and monkey can communicate through language.,Communication can happen without language.,Monkeys can't understand human language and talk.,Man and monkeys have many similarities.
8478,Mobile phones can be used when they are out of power.,People use chargers to charge their mobile phones when they are out of power.,Mobile phones are developing rapidly.,Mobile phones won't work when they are out of power.
8479,Butterflies can make honey.,Most butterflies are beautiful.,Butterflies have no ability to make honey.,Honey is sweet and good for health.
8480,There are dragons in real life.,Dragon is a virtual image.,There were dinosaurs in the world.,Dragon represents power and good luck.
8481,I can see bacteria with the naked eyes.,Bacteria are very small and hard to see by eyes alone.,Bacteria is not a kind of animal and doesn't have eyes.,We can see ants with naked eyes.
8482,I can see myself on the wall.,The walls do not reflect light.,The picture hangs on the wall.,I can see myself on the front camera of my phone.
8483,It's hot to have long hair in the winter.,It's cold in winter so long hair won't get hot.,Men seldom grow long hair.,It's cold to wash your hair with cold water in the winter.
8484,He lit his cigarette with wood.,Smoking cigarettes is bad for your health.,Wood cannot light the cigarette.,Wood can be ignited.
8485,Cancer is easy to cure.,Cancer is a very difficult disease to cure.,There is a relationship between diet and cancer.,Curing cancer sometimes requires luck.
8486,Waste batteries are good for the environment.,Waste batteries can cause environmental pollution.,We should do things that are good for the environment.,Waste batteries should be recycled.
8487,People build houses in the air.,The air is not enough to support a house.,Building a house could take a while.,There is water vapor in the air
8488,All cars burn oil.,Electric cars are environmentally friendly.,Oil for cars is expensive in some places.,"Electric cars are powered by electricity, not oil."
8489,We feed turtles with dog food.,We feed cats with cat food.,Turtles can be kept in fish tanks.,Turtles don't eat dog food.
8490,The woman applies facial cream on her mouth.,The facial cream contains vitamin A to nourish the skin.,Facial cream is usually applied to the face.,Women often apply facial cream on their face every night.
8491,Three-year-old children can drink wine.,Wine can be used to disinfect because it contains alcohol.,Alcohol in the wine is a dangerous substance for three-year-olds.,Three-year-old children can do some basic things by themselves.
8492,People enjoy the cool under the street lamp.,People love cool places in the summer.,"When the sun sets, the street lights come on.",There is no shade under the street lamp.
8493,Players play football with their hands.,People play football with their feet,Messi is a famous football player.,Players play volleyball with their hands.
8494,People can take the subway in the air.,The subway is very convenient.,People use different means to go to work.,Subways are built underground.
8495,No Internet makes people's life more convenient.,No Internet makes people's lives very troublesome.,Many modern inventions make people's life more convenient,We can't get addicted to the Internet.
8496,Man can live without air.,There is no air on Mars.,Maybe aliens can live without air.,Man will perish without air.
8497,Cutting down more trees is beneficial to wind protection and sand fixation.,Cutting down more trees will accelerate desertification.,Cutting down trees is an industry.,Wind protection and sand fixation can avoid desertification.
8498,Bananas are sour.,Bananas are usually sweet.,Bananas are easily digestible.,Some people hate the sour flavor.
8499,People go to the park to buy vegetables.,People can do exercises in the park.,The park is not a place to sell vegetables.,"To buy vegetables, you need to pay."
8500,The leaves are yellow in summer.,Leaves turn yellow in autumn.,Yellow leaves fall in autumn.,The weather is usually hot in summer.
8501,The fruit ripens in spring.,Flowers bloom in spring and fruit comes after flowering.,Spring is the season for all things to recover.,"Spring is the season for sowing, not ripening."
8502,People can see things clearly in the distance with their naked eyes.,We usually observe things around us with our naked eyes.,It's difficult to see things clearly in the distance by naked eyes alone.,Watching TV from a short distance would decrease the vision.
8503,Children like to eat paper.,Paper cannot be eaten.,People write on paper.,Children like to play.
8504,Books can quench thirst.,Books cannot be drunk.,Books are the ladder of human progress.,Reading books can relieve the thirst for knowledge.
8505,Fish can leave the water.,Fish as food is rich in protein.,Waterfowls can leave the water.,Fish die when they leave the water.
8506,The tortoise runs very fast.,The tortoise moves very slowly.,A tortoise has a shell on his back.,Rabbits and foxes run very fast.
8507,Students cook at school.,Students can make friends at school.,Students should keep in mind that the door to knowledge is to study.,"School is a place for students to study, not cook."
8508,The sun rises at night.,The sun sets at night.,The sun sends forth light and heat.,The moon rises at night.
8509,The ice will freeze when the sun shines on it.,The ice will freeze harder if you lower the temperature.,It feels comfortable when the sun shines on the face.,The temperature will rise when the sun shines and the ice will melt when the temperature rises.
8510,I can pick apples from the pear tree.,Both apples and pears are very juicy.,There are no apples on the pear tree.,Picking apples is an interesting activity.
8511,Ice is hot.,The ice will melt when the sun shines on it.,Ice helps to preserve food.,Ice is cold.
8512,You can talk freely in class.,Students should listen carefully in class.,Speaking freely in class violates classroom discipline.,We can talk freely in our home.
8513,People can live without water.,Water is the source of human life.,Water resources are scarce nowadays.,People should save water.
8514,People can cross the road at will.,People who cross the road at will is shameless.,Some people look at their phones when crossing the road.,Crossing the road at will is a very dangerous act.
8515,A pair of high heels would help when you climb a mountain.,Women usually wear high heels when they attend a dinner party,Mountain climbing is an exhausting thing,Wearing high heels when climbing is both uncomfortable and dangerous
8516,Children can play with fire freely.,Children should be properly taught what can't be played with.,Playing with fire is dangerous for children.,The effect of fire on forests is destructive.
